Name;Category;Action;Block Keywords;Block File Types;Bandwidth Optimizer
1New - Default;Social Web - LinkedIn;Block;false;;Do not block based on bandwidth
1New - Default;Social Web - Twitter;Block;false;;Do not block based on bandwidth
1New - Default;Social Web - Various;Block;false;;Do not block based on bandwidth
1New - Default;Social Web - YouTube;Block;false;;Do not block based on bandwidth
1New - Default;Society and Lifestyles;Block;false;;Do not block based on bandwidth
1New - Default;Special Events;Block;false;;Do not block based on bandwidth
1New - Default;Sport Hunting and Gun Clubs;Block;false;;Do not block based on bandwidth
1New - Default;Sports;Block;false;;Do not block based on bandwidth
1New - Default;Spyware;Block;false;;Do not block based on bandwidth
1New - Default;Streaming Media;Block;false;;Do not block based on bandwidth
1New - Default;Surveillance;Block;false;;Do not block based on bandwidth
1New - Default;Suspicious Content;Block;false;;Do not block based on bandwidth
1New - Default;Suspicious Embedded Link;Block;false;;Do not block based on bandwidth
1New - Default;Tasteless;Block;false;;Do not block based on bandwidth
1New - Default;Text and Media Messaging;Block;false;;Do not block based on bandwidth
1New - Default;Traditional Religions;Block;false;;Do not block based on bandwidth
1New - Default;Travel;Block;false;;Do not block based on bandwidth
1New - Default;Twitter Follow;Block;false;;Do not block based on bandwidth
1New - Default;Twitter Mail;Block;false;;Do not block based on bandwidth
1New - Default;Twitter Posting;Block;false;;Do not block based on bandwidth
1New - Default;Unauthorized Mobile Marketplaces;Block;false;;Do not block based on bandwidth
1New - Default;Uncategorized;Block;false;;Do not block based on bandwidth
1New - Default;User-Defined;Permit;false;;Do not block based on bandwidth
1New - Default;Vehicles;Block;false;;Do not block based on bandwidth
1New - Default;Violence;Block;false;;Do not block based on bandwidth
1New - Default;Viral Video;Block;false;;Do not block based on bandwidth
1New - Default;Weapons;Block;false;;Do not block based on bandwidth
1New - Default;Web Analytics;Block;false;;Do not block based on bandwidth
1New - Default;Web and Email Marketing;Block;false;;Do not block based on bandwidth
1New - Default;Web and Email Spam;Block;false;;Do not block based on bandwidth
1New - Default;Web Chat;Block;false;;Do not block based on bandwidth
1New - Default;Web Collaboration;Block;false;;Do not block based on bandwidth
1New - Default;Web Hosting;Block;false;;Do not block based on bandwidth
1New - Default;Web Images;Block;false;;Do not block based on bandwidth
1New - Default;Web Infrastructure;Block;false;;Do not block based on bandwidth
1New - Default;Website Translation;Block;false;;Do not block based on bandwidth
1New - Default;YouTube Commenting;Block;false;;Do not block based on bandwidth
