Name;Protocol;Action;Log Protocol;Bandwidth Optimizer
CallCentre - no internet access;Citrix;Block;false;Do not block based on bandwidth
CallCentre - no internet access;ClipMoon;Block;true;Do not block based on bandwidth
CallCentre - no internet access;ClubBox;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Comodo EasyVPN;Block;false;Do not block based on bandwidth
CallCentre - no internet access;CrossLoop;Block;false;Do not block based on bandwidth
CallCentre - no internet access;Dailymotion;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Damaka;Block;true;Do not block based on bandwidth
CallCentre - no internet access;daytime;Block;false;Do not block based on bandwidth
CallCentre - no internet access;DirectConnect;Block;true;Do not block based on bandwidth
CallCentre - no internet access;eDonkey;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Email Borne Worms;Block;false;Do not block based on bandwidth
CallCentre - no internet access;Eyeball Chat;Block;true;Do not block based on bandwidth
CallCentre - no internet access;EZPeer;Block;true;Do not block based on bandwidth
CallCentre - no internet access;FastTrack (Kazaa iMesh);Block;true;Do not block based on bandwidth
CallCentre - no internet access;Finetune;Block;true;Do not block based on bandwidth
CallCentre - no internet access;finger;Block;false;Do not block based on bandwidth
CallCentre - no internet access;FolderShare;Block;true;Do not block based on bandwidth
CallCentre - no internet access;FTP;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Gadu-Gadu;Block;true;Do not block based on bandwidth
CallCentre - no internet access;GhostSurf;Block;true;Do not block based on bandwidth
CallCentre - no internet access;GigaTribe;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Gizmo Project;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Globe7;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Gmail Chat (WSG Only);Block;true;Do not block based on bandwidth
CallCentre - no internet access;Gnutella (Morpheus Xolox);Block;true;Do not block based on bandwidth
CallCentre - no internet access;Goober Messenger;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Google Talk;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Google Video;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Google Wave (WSG Only);Block;true;Do not block based on bandwidth
CallCentre - no internet access;Google Web Accelerator;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Gopher;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Hamachi;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Hopster;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Hotline Connect;Block;true;Do not block based on bandwidth
CallCentre - no internet access;HTTP;Permit;false;Do not block based on bandwidth
CallCentre - no internet access;HTTPS;Permit;false;Do not block based on bandwidth
CallCentre - no internet access;Hulu;Block;true;Do not block based on bandwidth
CallCentre - no internet access;ident;Block;false;Do not block based on bandwidth
CallCentre - no internet access;IMAP;Block;false;Do not block based on bandwidth
CallCentre - no internet access;IMVU;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Instant Housecall;Block;false;Do not block based on bandwidth
CallCentre - no internet access;IRC;Block;true;Do not block based on bandwidth
CallCentre - no internet access;iSpQ;Block;true;Do not block based on bandwidth
CallCentre - no internet access;iTunes;Block;true;Do not block based on bandwidth
CallCentre - no internet access;JAP;Block;true;Do not block based on bandwidth
CallCentre - no internet access;JetCast;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Joost;Block;true;Do not block based on bandwidth
CallCentre - no internet access;LDAP;Block;false;Do not block based on bandwidth
CallCentre - no internet access;Liquid Audio;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Live Mesh;Block;true;Do not block based on bandwidth
CallCentre - no internet access;LogMeIn;Block;false;Do not block based on bandwidth
CallCentre - no internet access;Lotus Notes;Block;false;Do not block based on bandwidth
CallCentre - no internet access;Mail.Ru;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Meetro;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Metacafe;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Microsoft HTTPMail;Block;false;Do not block based on bandwidth
CallCentre - no internet access;Mikogo;Block;false;Do not block based on bandwidth
CallCentre - no internet access;MindSpring;Block;true;Do not block based on bandwidth
CallCentre - no internet access;MSC Messenger;Block;true;Do not block based on bandwidth
CallCentre - no internet access;MSN Messenger;Block;true;Do not block based on bandwidth
CallCentre - no internet access;MSN Messenger attachments;Block;false;Do not block based on bandwidth
CallCentre - no internet access;MyGreenPC;Block;false;Do not block based on bandwidth
CallCentre - no internet access;MyIVO;Block;false;Do not block based on bandwidth
CallCentre - no internet access;MyPlay;Block;true;Do not block based on bandwidth
CallCentre - no internet access;MySpaceIM;Block;true;Do not block based on bandwidth
CallCentre - no internet access;MySpace Player;Block;true;Do not block based on bandwidth
CallCentre - no internet access;NateOn;Block;true;Do not block based on bandwidth
CallCentre - no internet access;NateOn Messenger Attachments;Block;false;Do not block based on bandwidth
CallCentre - no internet access;NateOn Remote Access;Block;false;Do not block based on bandwidth
CallCentre - no internet access;Neos;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Netease Popo;Block;true;Do not block based on bandwidth
CallCentre - no internet access;netFM Messenger;Block;true;Do not block based on bandwidth
CallCentre - no internet access;NetMeeting;Block;false;Do not block based on bandwidth
CallCentre - no internet access;NFS;Block;false;Do not block based on bandwidth
CallCentre - no internet access;Nimbuzz;Block;true;Do not block based on bandwidth
CallCentre - no internet access;NNTP;Block;false;Do not block based on bandwidth
CallCentre - no internet access;NTP;Block;false;Do not block based on bandwidth
CallCentre - no internet access;Octoshape;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Onshare;Block;true;Do not block based on bandwidth
CallCentre - no internet access;OpenWindows;Block;false;Do not block based on bandwidth
CallCentre - no internet access;Opera Unite;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Orsiso;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Other;Block;false;Do not block based on bandwidth
CallCentre - no internet access;Palringo;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Paltalk;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Pando;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Pandora;Block;true;Do not block based on bandwidth
CallCentre - no internet access;pcANYWHERE;Block;false;Do not block based on bandwidth
CallCentre - no internet access;pcTELECOMMUTE;Block;false;Do not block based on bandwidth
CallCentre - no internet access;PeerCast;Block;true;Do not block based on bandwidth
CallCentre - no internet access;POP3;Block;false;Do not block based on bandwidth
CallCentre - no internet access;pptp;Block;false;Do not block based on bandwidth
CallCentre - no internet access;Project Neon;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Qnext;Block;true;Do not block based on bandwidth
CallCentre - no internet access;Raketu;Block;true;Do not block based on bandwidth
